제품번호,제품명,최저가,최고가,브랜드,메이커,제품링크,품목,특징,CPU제조사,CPU,CPU종류,코어종류,터보부스트,램용량,SSD용량,그래픽,파워,램규격,운영체제,속도,SSD 인터페이스,그래픽 메모리,단자,메인보드,코드명,무상AS,블루투스,랜,확장슬롯,카드리더,케이스분류,케이스재질,색상,정격,운영체제 bit,HDD용량,사운드 채널,출장AS,형태,오디오
29791355618,한성컴퓨터 TFG MX5500,629000,,한성컴퓨터,한성컴퓨터,https://search.shopping.naver.com/catalog/29791355618,데스크탑,사무용,AMD,라이젠5-5600G,라이젠 5,6코어,4.4GHz,16GB,250GB,라데온 그래픽 7,600W,DDR4,OS미포함,3.9GHz,M.2,시스템 메모리 공유,USB2.0,(AMD)A520칩셋,세잔(라이젠4세대),1년,,,,,,,,,,,,,,
28091044523,HP 파빌리온 TG01-2004kl,1598990,,파빌리온,HP,https://search.shopping.naver.com/catalog/28091044523,데스크탑,게이밍(게임용),AMD,라이젠5-5600G,라이젠 5,6코어,4.4GHz,16GB,512GB,지포스 RTX3060 Ti,500W,DDR4,OS미포함,3.9GHz,M.2,8GB,DisplayPort,,,1년,블루투스4.2,무선랜ac,,,,,,,,,,,,
28030946522,HP 파빌리온 TP01-2023KL,599000,,파빌리온,HP,https://search.shopping.naver.com/catalog/28030946522,데스크탑,,AMD,라이젠5-5600G,라이젠 5,6코어,4.4GHz,8GB,256GB,라데온VEGA7,500W,DDR4,OS미포함,3.9GHz,NVMe,시스템 메모리 공유,켄싱턴락(도난방지),,,1년,블루투스4.2,무선랜ac,PCI-Express3.0,카드리더,미들타워,알루미늄케이스,블랙,정격,,,,,,
30129808618,HP 파빌리온 TG01-2006kl,1398850,,파빌리온,HP,https://search.shopping.naver.com/catalog/30129808618,데스크탑,게이밍(게임용),AMD,라이젠5-5600G,라이젠 5,6코어,4.4GHz,8GB,512GB,지포스 RTX3060,500W,DDR4,OS미포함,3.9GHz,M.2,12GB,켄싱턴락(도난방지),,세잔(라이젠4세대),,블루투스,무선랜ac,,,,,,,,,,,,
83705712893,(램 더블업)HP 파빌리온 게이밍 PC TG01-2000KR 본체 롤 컴퓨터 배그 데스크탑,898000,,파빌리온,HP,https://search.shopping.naver.com/catalog/83705712893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29523167618,HP 파빌리온 TG01-2003kr,1689000,,파빌리온,HP,https://search.shopping.naver.com/catalog/29523167618,데스크탑,게이밍(게임용),AMD,라이젠5-5600G,라이젠 5,6코어,4.4GHz,16GB,512GB,지포스 RTX3060 Ti,500W,DDR4,윈도우10 홈,3.9GHz,M.2,8GB,DisplayPort,,세잔(라이젠4세대),1년,블루투스4.2,무선랜ac,,카드리더,,,,,64bit,,,,,
27597709522,HP TG01-2001kl,1599000,,HP,HP,https://search.shopping.naver.com/catalog/27597709522,데스크탑,게이밍(게임용),AMD,라이젠5-5600G,라이젠 5,6코어,4.4GHz,16GB,512GB,지포스 RTX3060 Ti,500W,DDR4,OS미포함,,NVMe,8GB,DisplayPort,,,,블루투스4.2,무선랜ac,,카드리더,,,,,,,,,,
30867535618,HP TG02-0040KR,1532520,,HP,HP,https://search.shopping.naver.com/catalog/30867535618,데스크탑,게이밍(게임용),AMD,라이젠5-5600G,라이젠 5,6코어,4.4GHz,16GB,512GB,라데온 RX-6600XT,500W,DDR4,윈도우11 홈,3.9GHz,M.2,8GB,켄싱턴락(도난방지),(AMD)B550칩셋,세잔(라이젠4세대),1년,블루투스,유선랜,,,,,,,,1TB,5.1채널,1년,,
83705722617,(램 더블업)게이밍 컴퓨터 HP 파빌리온 데스크탑 본체 게임용 윈도우11 롤 배그 PC,899000,,HP,HP,https://search.shopping.naver.com/catalog/83705722617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28887489588,HP 1Y4D6AV R5-<b>5600g</b>,603640,,HP,HP,https://search.shopping.naver.com/catalog/28887489588,데스크탑,사무용,AMD,라이젠5-5600G,라이젠 5,6코어,4.4GHz,8GB,,CPU내장,500W,DDR4,OS미포함,3.9GHz,,시스템 메모리 공유,시리얼,,세잔(라이젠4세대),1년,블루투스4.2,무선랜ac,,,,,,,,1TB,,1년,스틱형,스피커내장
