제품번호,제품명,최저가,최고가,브랜드,메이커,제품링크,AMD코어,코어종류,소켓,제조공정,설계 전력,L2 캐시,L3캐시,지원,구성,터보클럭속도,스레드,기본클럭,소비전력(TDP)
24903715522,AMD 라이젠 5 <b>5600X</b> 버미어,260820,,AMD,AMD,https://search.shopping.naver.com/catalog/24903715522,버미어(4세대),6코어,AMD-소켓AM4,7nm,65W,3MB,32MB,DDR4 지원,레이스 스텔스 쿨러,4.6GHz,12스레드,3.7GHz,65W
28665831583,[AMD] 라이젠5 버미어 <b>5600X</b> 스페셜 (프리즘쿨러포함/대리점정품/멀티팩),269000,,AMD,AMD,https://search.shopping.naver.com/catalog/28665831583,,,,,,,,,,,,,
30778885195,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩)-TZ,260350,,,,https://search.shopping.naver.com/catalog/30778885195,,,,,,,,,,,,,
28701897322,AMD 라이젠5 버미어 <b>5600X</b> (프리즘쿨러포함/멀티팩) C,259590,,,,https://search.shopping.naver.com/catalog/28701897322,,,,,,,,,,,,,
28726521476,AMD 라이젠5-4세대 <b>5600X</b> 스페셜 프리즘쿨러포함,266560,,,,https://search.shopping.naver.com/catalog/28726521476,,,,,,,,,,,,,
82946165588,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩),270000,,AMD,AMD,https://search.shopping.naver.com/catalog/82946165588,,,,,,,,,,,,,
30074881289,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩(프리즘팩),259580,,,,https://search.shopping.naver.com/catalog/30074881289,,,,,,,,,,,,,
28702479488,AMD 라이젠5 버미어 <b>5600X</b> (프리즘쿨러포함/멀티팩) C,283190,,,,https://search.shopping.naver.com/catalog/28702479488,,,,,,,,,,,,,
30704895674,AMD 라이젠5 4세대 Ryzen5 CPU <b>5600X</b> (버미어) 멀티팩,281720,,AMD,AMD,https://search.shopping.naver.com/catalog/30704895674,,,,,,,,,,,,,
28682121314,에이엠디 AMD 라이젠5-4세대 <b>5600X</b> (버미어)(멀티팩(프리즘팩)),266470,,AMD,AMD,https://search.shopping.naver.com/catalog/28682121314,,,,,,,,,,,,,
