제품번호,제품명,최저가,최고가,브랜드,메이커,제품링크,메모리 종류,메모리,메모리 대역폭,단자,부가기능,보조전원,구성품,길이,높이,쿠다 프로세서,권장파워,소비전력,인터페이스,칩셋,냉각방식,쿨러,메모리클럭,부스트클럭,무상AS,부스트,LED제어시스템,속도,용도
27314328526,MSI 지포스 RTX 3080 슈프림 X D6X 10GB 트라이프로져2S,1759000,,MSI,MSI,https://search.shopping.naver.com/catalog/27314328526,GDDR6X,10GB,320bit,DisplayPort(3개),모니터4대연결,8+8+8핀,휨방지가이드(백플레이트),33.6cm,5cm(3슬롯),8704개,850w,370w,PCI-Express4.0(x16),지포스 RTX 3080,,,19000MHz,1905MHz,3년,GPU부스트,,,
28095164522,MSI 지포스 RTX 3080 Ti 슈프림 X D6X 12GB 트라이프로져2S,2198900,,MSI,MSI,https://search.shopping.naver.com/catalog/28095164522,GDDR6X,12GB,384bit,DisplayPort(3개),4K해상도지원,8+8+8핀,,336mm,,10240개,850W,400W,PCI-Express4.0(x16),지포스 RTX 3080 Ti,,0dB무소음모드,19000MHz,1845MHz,,GPU부스트,LED,,
30678154618,기가바이트 지포스 RTX 3080 Ti Gaming OC D6X 12GB 피씨디렉트,2158990,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/30678154618,GDDR6X,12GB,384bit,DisplayPort 1.4(3개),모니터4대연결,8+8핀,,320mm,,10240개,750W,,PCI-Express4.0(x16),지포스 RTX 3080 Ti,,팬(3개),19000MHz,1710MHz,,GPU부스트,RGB FUSION,,
30678467626,기가바이트 AORUS 지포스 RTX 3080 Ti Master D6X 12GB 피씨디렉트,2375990,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/30678467626,GDDR6X,12GB,384bit,HDMI2.0(1개),모니터4대연결,8+8+8핀,,31.9cm,,10240개,850W,,PCI-Express4.0(x16),지포스 RTX 3080 Ti,,팬(3개),19000MHz,1710MHz,,GPU부스트,RGB FUSION,,
27925658522,조텍 GAMING 지포스 RTX 3080 Ti Trinity OC D6X 12GB,2196600,,조텍,조텍,https://search.shopping.naver.com/catalog/27925658522,GDDR6X,12GB,384bit,HDMI(1개),,8+8핀,,317.8mm,,10240개,750W,350W,PCI-Express4.0(x16),지포스 RTX 3080 Ti,,아이스스톰,,1695MHz,,,LED,,
30453261621,기가바이트 지포스 RTX 3080 Gaming OC V2 D6X 10GB 제이씨현,1738000,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/30453261621,GDDR6X,10GB,320bit,DisplayPort 1.4(3개),모니터4대연결,8+8핀,,320mm,,8704개,750W,,PCI-Express4.0(x16),,,팬(3개),19000MHz,1800MHz,,GPU부스트,RGB FUSION,,
24279397522,이엠텍 XENON 지포스 RTX 3080 TURBO JET OC D6X 10GB,1816130,,이엠텍,이엠텍,https://search.shopping.naver.com/catalog/24279397522,GDDR6,10GB,320bit,HDMI(1개),모니터4대연결,,,304mm,,8704개,,370W,PCI-Express4.0(x16),지포스 RTX 3080,,,19000MHz,1800MHz,,GPU부스트,,,
30835755627,이엠텍 XENON 지포스 RTX 3080 TURBO JET OC D6X 12GB LHR,1966660,,이엠텍,이엠텍,https://search.shopping.naver.com/catalog/30835755627,GDDR6X,12GB,384bit,HDMI 2.1(1개),모니터4대연결,8+8+8핀,,304mm,,,850W,390W,PCI-Express4.0(x16),지포스 RTX 3080,,제로팬(0-dB기술),19000MHz,1815MHz,,GPU부스트,LED,,
30676409626,ASUS ROG STRIX 지포스 RTX 3080 O12G GAMING OC D6X 12GB,2196000,,ASUS,ASUS,https://search.shopping.naver.com/catalog/30676409626,GDDR6X,12GB,384bit,DisplayPort 1.4(3개),모니터4대연결,8+8+8핀,,31.85cm,,,850W,,PCI-Express4.0(x16),지포스 RTX 3080,,팬(3개),19000MHz,1890MHz,,GPU부스트,AURA SYNC,1440MHz,
30679357696,MSI RTX 3080 Ti 슈프림 X D6X 12GB 트라이프로져2S,2419200,,MSI,,https://search.shopping.naver.com/catalog/30679357696,,,,,,,,,,,,,,,,,,,,,,,
30678143621,기가바이트 지포스 RTX 3080 Ti VISION OC D6X 12GB 피씨디렉트,2168170,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/30678143621,GDDR6X,12GB,384bit,DisplayPort 1.4(3개),모니터4대연결,8+8핀,,320mm,,10240개,750W,,PCI-Express4.0(x16),,,팬(3개),19000MHz,1710MHz,,GPU부스트,RGB FUSION,,
30677516753,MSI RTX 3080 Ti 슈프림 X D6X 12GB 트라이프로져2S,2145440,,,,https://search.shopping.naver.com/catalog/30677516753,,,,,,,,,,,,,,,,,,,,,,,
83238448249,MSI 지포스 RTX 3080 Ti 슈프림 X D6X 12GB 트라이프로져2S 그래픽카드,2199000,,MSI,MSI,https://search.shopping.naver.com/catalog/83238448249,,,,,,,,,,,,,,,,,,,,,,,
24278964523,ASUS TUF Gaming 지포스 RTX 3080 O10G OC D6X 10GB,1980000,,ASUS,ASUS,https://search.shopping.naver.com/catalog/24278964523,GDDR6,10GB,320bit,HDMI(2개),모니터4대연결,,,300mm,,8704개,750W,,PCI-Express4.0(x16),지포스 RTX 3080,,,19500MHz,1815MHz,,GPU부스트,,,
83307526239,EVGA 지포스 RTX 3080 FTW3 ULTRA GAMING LHR,1897000,,,EVGA,https://search.shopping.naver.com/catalog/83307526239,,,,,,,,,,,,,,,,,,,,,,,
30599530622,만리 지포스 RTX 3080 Rush D6X 10GB LHR,1748810,,만리,만리,https://search.shopping.naver.com/catalog/30599530622,GDDR6X,10GB,320bit,HDMI 2.1(1개),모니터4대연결,8+8핀,,31.7cm,,8704개,,320W,PCI-Express4.0(x16),지포스 RTX 3080,,팬(3개),,1710MHz,,GPU부스트,,1440MHz,
30678863622,기가바이트 AORUS 지포스 RTX 3080 Ti Master D6X 12GB 제이씨현,2488940,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/30678863622,GDDR6X,12GB,384bit,HDMI2.0(1개),모니터4대연결,8+8+8핀,,31.9cm,,10240개,850W,,PCI-Express4.0(x16),지포스 RTX 3080 Ti,,팬(3개),19000MHz,1770MHz,,GPU부스트,RGB FUSION,,
30628213619,갤럭시코리아 GALAX 지포스 RTX 3080 Ti SG OC D6X 12GB,2420000,,GALAX,갤럭시코리아,https://search.shopping.naver.com/catalog/30628213619,GDDR6X,12GB,384bit,HDMI 2.1(1개),모니터4대연결,8+8핀,,317mm,,10240개,350W,750W,PCI-Express4.0(x16),,,,19000MHz,1695MHz,,GPU부스트,AURA SYNC,,
30676683317,jMSI RTX 3080 슈프림 X D6X 10GB 트라이프로져2S LHR,1723040,,,,https://search.shopping.naver.com/catalog/30676683317,,,,,,,,,,,,,,,,,,,,,,,
83036385370,ASUS ROG STRIX 지포스 RTX 3080 O10G WHITE EDITION,2470000,,ASUS,ASUS,https://search.shopping.naver.com/catalog/83036385370,,,,,,,,,,,,,,,,,,,,,,,
27314839523,컬러풀 iGAME 지포스 RTX 3080 Vulcan OC D6X 10GB,3120000,,컬러풀,컬러풀,https://search.shopping.naver.com/catalog/27314839523,,,,,,,,,,,,,,,,,,,,,,,
28888290586,이엠텍 지포스 RTX 3080 Ti BLACK EDITION D6X 12GB,2285250,,이엠텍,이엠텍,https://search.shopping.naver.com/catalog/28888290586,GDDR6X,12GB,,HDMI(1개),4K해상도지원,8+8핀,휨방지가이드(백플레이트),,,10240개,750W,350W,PCI-Express4.0(x16),지포스 RTX 3080 Ti,,0dB무소음모드,,1365MHz,3년,GPU부스트,LED,,
30790863168,ASUS ROG STRIX 지포스 RTX 3080 Ti O12G GAMING OC D6X 12GB,2790000,,ASUS,ASUS,https://search.shopping.naver.com/catalog/30790863168,,,,,,,,,,,,,,,,,,,,,,,
